STATE,District Name,Market Name,Commodity,Variety,Grade
Rajasthan,churu,Churu,Potato,(Red Nanital),FAQ
West Bengal,hooghly,Pandua,Tomato,Hybrid,FAQ
Uttar Pradesh,gorakhpur,Chorichora,Potato,Red,FAQ
Uttar Pradesh,pratapgarh,Pratapgarh,Tomato,Deshi,FAQ
Rajasthan,pratapgarh,Pratapgarh,Tomato,Deshi,FAQ
Uttar Pradesh,banda,Atarra,Tomato,Deshi,FAQ
Uttar Pradesh,bijnor,Bijnaur,Wheat,Dara,FAQ
Uttar Pradesh,ghaziabad,Ghaziabad,Potato,Desi,FAQ
Karnataka,kolar,Chintamani,Potato,Local,FAQ
Rajasthan,bharatpur,Bayana,Tomato,Other,FAQ
Madhya Pradesh,guna,Guna(F&V),Potato,Other,FAQ
Kerala,malappuram,Parappanangadi,Onion,Other,FAQ
Orissa,bargarh,Bargarh,Tomato,Other,FAQ
Punjab,jalandhar,Noor Mehal,Tomato,Other,FAQ
Himachal Pradesh,mandi,Dhanotu (Mandi),Onion,Other,FAQ
Madhya Pradesh,indore,Gautampura,Onion,1st Sort,FAQ
Himachal Pradesh,hamirpur,Muskara,Tomato,Deshi,FAQ
